base,quote
MULTI,USD
MV,EUR
MV,USD
MXC,EUR
MXC,USD
NANO,ETH
NANO,EUR
NANO,USD
NANO,XBT
NEAR,EUR
NEAR,USD
NMR,EUR
NMR,USD
NODL,EUR
NODL,USD
NYM,EUR
NYM,USD
NYM,XBT
OCEAN,EUR
OCEAN,GBP
OCEAN,USD
OCEAN,XBT
OGN,EUR
OGN,USD
OMG,ETH
OMG,EUR
OMG,JPY
OMG,USD
OMG,XBT
ONDO,EUR
ONDO,USD
OP,EUR
OP,USD
ORCA,EUR
ORCA,USD
OXT,EUR
OXT,USD
OXT,XBT
OXY,EUR
OXY,USD
PARA,EUR
PARA,USD
PAXG,ETH
PAXG,EUR
PAXG,USD
PAXG,XBT
PEPE,EUR
PEPE,USD
PERP,EUR
PERP,USD
PHA,EUR
PHA,USD
PLA,EUR
PLA,USD
POL,EUR
POLIS,EUR
POLIS,USD
POLS,EUR
POLS,USD
POL,USD
POND,EUR
POND,USD
POWR,EUR
POWR,USD
PSTAKE,EUR
PSTAKE,USD
PYTH,EUR
PYTH,USD
PYUSD,EUR
PYUSD,USD
QNT,EUR
QNT,USD
QTUM,ETH
QTUM,EUR
QTUM,USD
QTUM,XBT
RAD,EUR
RAD,USD
RARE,EUR
RARE,USD
RARI,EUR
RARI,USD
RARI,XBT
RAY,EUR
RAY,USD
RBC,EUR
RBC,USD
REN,EUR
REN,USD
REN,XBT
REP,EUR
REP,USD
REPV2,ETH
REPV2,EUR
REPV2,USD
REPV2,XBT
REP,XBT
REQ,EUR
REQ,USD
RLC,EUR
RLC,USD
RNDR,EUR
RNDR,USD
ROOK,EUR
ROOK,USD
RPL,EUR
RPL,USD
RUNE,EUR
RUNE,USD
SAMO,EUR
SAMO,USD
SAND,EUR
SAND,GBP
SAND,USD
SAND,XBT
SBR,EUR
SBR,USD
SC,ETH
SC,EUR
SCRT,EUR
SCRT,USD
SC,USD
SC,XBT
SDN,EUR
SDN,USD
SEI,EUR
SEI,USD
SGB,EUR
SGB,USD
SHIB,EUR
SHIB,USDT
SHIB,USD
SNX,ETH
SNX,EUR
SNX,USD
SNX,XBT
SOL,ETH
SOL,EUR
SOL,GBP
SOL,USDT
SOL,USD
SOL,XBT
SPELL,EUR
SPELL,USD
